OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost
SO - 0002357,17-02-2015,152,Distributor,USD,AXW291,22,26,12,1011.70,12140.40,748.66
SO - 0002358,17-02-2015,92,Wholesale,USD,AXW291,30,6,10,2479.00,24790.00,1512.19
SO - 0002359,17-02-2015,46,Export,USD,GUT930,36,26,5,2726.90,13634.50,1881.56
SO - 0002360,18-02-2015,24,Wholesale,USD,AXW291,22,25,7,1118.90,7832.30,906.31
SO - 0002361,18-02-2015,123,Wholesale,USD,GUT930,33,2,5,1279.70,6398.50,1010.96
SO - 0002362,18-02-2015,22,Wholesale,USD,AXW291,19,4,8,3919.50,31356.00,3292.38
SO - 0002363,18-02-2015,74,Wholesale,USD,AXW291,13,23,6,1855.90,11135.40,835.16
SO - 0002364,18-02-2015,7,Export,USD,AXW291,5,17,7,1849.20,12944.40,1423.88
SO - 0002365,18-02-2015,17,Distributor,USD,AXW291,22,26,5,5272.90,26364.50,2636.45
SO - 0002366,18-02-2015,154,Wholesale,USD,NXH382,56,1,11,194.30,2137.30,141.84
SO - 0002367,18-02-2015,108,Distributor,USD,GUT930,41,12,12,1038.50,12462.00,643.87
SO - 0002368,18-02-2015,56,Distributor,USD,NXH382,50,17,11,5279.60,58075.60,2375.82
SO - 0002369,18-02-2015,157,Wholesale,USD,GUT930,45,22,8,3705.10,29640.80,2111.91
SO - 0002370,18-02-2015,141,Export,USD,NXH382,58,12,8,194.30,1554.40,101.04
SO - 0002371,18-02-2015,21,Wholesale,USD,GUT930,43,11,7,1098.80,7691.60,879.04
SO - 0002372,18-02-2015,41,Wholesale,USD,GUT930,44,28,9,1762.10,15858.90,1409.68
SO - 0002373,18-02-2015,24,Export,USD,AXW291,17,25,8,174.20,1393.60,101.04
SO - 0002374,18-02-2015,63,Wholesale,USD,GUT930,32,26,8,2525.90,20207.20,1591.32
SO - 0002375,19-02-2015,149,Wholesale,USD,FLR025,62,25,6,1876.00,11256.00,1256.92
SO - 0002376,19-02-2015,11,Export,USD,GUT930,41,19,5,897.80,4489.00,718.24
SO - 0002377,19-02-2015,141,Export,USD,AXW291,9,1,9,844.20,7597.80,455.87
SO - 0002378,19-02-2015,28,Wholesale,USD,NXH382,58,12,5,3932.90,19664.50,2202.42
SO - 0002379,19-02-2015,53,Wholesale,USD,AXW291,3,28,5,3999.90,19999.50,2519.94
SO - 0002380,19-02-2015,74,Wholesale,USD,NXH382,53,21,7,964.80,6753.60,820.08
SO - 0002381,19-02-2015,148,Wholesale,USD,AXW291,24,5,7,1976.50,13835.50,1462.61
SO - 0002382,20-02-2015,160,Wholesale,USD,AXW291,8,5,7,978.20,6847.40,401.06
SO - 0002383,20-02-2015,112,Wholesale,USD,NXH382,49,22,5,3778.80,18894.00,3023.04
SO - 0002384,20-02-2015,150,Wholesale,USD,NXH382,47,25,8,1165.80,9326.40,967.61
SO - 0002385,20-02-2015,78,Wholesale,USD,FLR025,66,26,11,1152.40,12676.40,887.35
SO - 0002386,20-02-2015,112,Wholesale,USD,AXW291,26,1,10,1045.20,10452.00,522.60
SO - 0002387,20-02-2015,21,Wholesale,USD,GUT930,38,19,5,6385.10,31925.50,3767.21
SO - 0002388,20-02-2015,117,Wholesale,USD,AXW291,30,6,8,2686.70,21493.60,1423.95
SO - 0002389,21-02-2015,93,Distributor,USD,AXW291,19,13,5,6277.90,31389.50,3201.73
SO - 0002390,21-02-2015,22,Wholesale,USD,AXW291,21,26,8,1159.10,9272.80,857.73
SO - 0002391,21-02-2015,127,Export,USD,NXH382,50,25,11,1118.90,12307.90,671.34
SO - 0002392,21-02-2015,169,Wholesale,USD,AXW291,17,25,10,1340.00,13400.00,844.20
SO - 0002393,21-02-2015,95,Distributor,USD,AXW291,4,27,7,2331.60,16321.20,1841.96
SO - 0002394,21-02-2015,104,Export,USD,GUT930,41,1,10,2425.40,24254.00,1406.73
SO - 0002395,21-02-2015,8,Distributor,USD,AXW291,11,22,8,1092.10,8736.80,688.02
SO - 0002396,21-02-2015,8,Export,USD,AXW291,17,2,7,917.90,6425.30,614.99
SO - 0002397,21-02-2015,78,Wholesale,USD,GUT930,36,13,11,207.70,2284.70,85.16
SO - 0002398,21-02-2015,125,Wholesale,USD,AXW291,1,30,12,1996.60,23959.20,1637.21
SO - 0002399,21-02-2015,75,Distributor,USD,NXH382,50,7,6,234.50,1407.00,103.18
SO - 0002400,22-02-2015,160,Export,USD,AXW291,31,11,10,1005.00,10050.00,693.45
SO - 0002401,22-02-2015,2,Wholesale,USD,AXW291,14,26,8,5487.30,43898.40,4060.60
SO - 0002402,22-02-2015,132,Wholesale,USD,AXW291,22,16,6,5976.40,35858.40,3585.84
SO - 0002403,22-02-2015,65,Distributor,USD,AXW291,4,13,12,884.40,10612.80,619.08
SO - 0002404,22-02-2015,27,Wholesale,USD,AXW291,5,2,9,6157.30,55415.70,4802.69
SO - 0002405,23-02-2015,54,Wholesale,USD,AXW291,4,26,7,964.80,6753.60,694.66
SO - 0002406,23-02-2015,9,Distributor,USD,FLR025,62,11,10,3892.70,38927.00,1557.08
SO - 0002407,23-02-2015,28,Wholesale,USD,AXW291,3,13,9,227.80,2050.20,179.96
SO - 0002408,23-02-2015,174,Wholesale,USD,FLR025,65,5,6,1340.00,8040.00,991.60
SO - 0002409,23-02-2015,84,Wholesale,USD,AXW291,2,12,9,1105.50,9949.50,773.85
SO - 0002410,23-02-2015,129,Distributor,USD,AXW291,23,15,11,1058.60,11644.60,624.57
SO - 0002411,23-02-2015,130,Distributor,USD,AXW291,15,2,6,5695.00,34170.00,2619.70
SO - 0002412,23-02-2015,107,Wholesale,USD,GUT930,33,10,6,1058.60,6351.60,719.85
SO - 0002413,23-02-2015,136,Wholesale,USD,GUT930,44,12,8,1105.50,8844.00,475.37
SO - 0002414,24-02-2015,113,Distributor,USD,AXW291,9,25,10,1045.20,10452.00,553.96
SO - 0002415,24-02-2015,156,Distributor,USD,FLR025,60,26,9,1768.80,15919.20,1061.28
SO - 0002416,24-02-2015,132,Wholesale,USD,AXW291,27,11,9,804.00,7236.00,393.96
SO - 0002417,24-02-2015,137,Export,USD,AXW291,11,26,5,241.20,1206.00,101.30
SO - 0002418,24-02-2015,98,Export,USD,AXW291,6,13,7,3953.00,27671.00,2292.74
SO - 0002419,24-02-2015,105,Wholesale,USD,NXH382,59,5,8,6036.70,48293.60,3078.72
SO - 0002420,24-02-2015,94,Export,USD,AXW291,17,8,11,6197.50,68172.50,4338.25
SO - 0002421,24-02-2015,170,Distributor,USD,GUT930,36,25,10,6472.20,64722.00,3818.60
SO - 0002422,24-02-2015,112,Wholesale,USD,GUT930,36,25,5,2814.00,14070.00,1463.28
SO - 0002423,24-02-2015,121,Wholesale,USD,AXW291,11,26,8,221.10,1768.80,168.04
SO - 0002424,24-02-2015,93,Wholesale,USD,NXH382,53,13,11,2257.90,24836.90,1670.85
SO - 0002425,25-02-2015,77,Distributor,USD,FLR025,66,2,10,3946.30,39463.00,1973.15
SO - 0002426,25-02-2015,22,Distributor,USD,AXW291,4,13,11,268.00,2948.00,227.80
SO - 0002427,25-02-2015,130,Wholesale,USD,AXW291,6,14,9,6499.00,58491.00,4549.30
SO - 0002428,25-02-2015,14,Wholesale,USD,NXH382,55,15,7,938.00,6566.00,515.90
SO - 0002429,25-02-2015,168,Wholesale,USD,NXH382,52,5,9,938.00,8442.00,450.24
SO - 0002430,26-02-2015,56,Wholesale,USD,AXW291,23,4,11,1145.70,12602.70,595.76
SO - 0002431,26-02-2015,34,Wholesale,USD,GUT930,43,25,10,1065.30,10653.00,671.14
SO - 0002432,26-02-2015,158,Distributor,USD,AXW291,11,13,7,3906.10,27342.70,1562.44
SO - 0002433,26-02-2015,35,Wholesale,USD,FLR025,65,13,12,3845.80,46149.60,2922.81
SO - 0002434,26-02-2015,129,Wholesale,USD,AXW291,22,5,10,3845.80,38458.00,2922.81
SO - 0002435,26-02-2015,136,Wholesale,USD,AXW291,6,5,8,1031.80,8254.40,443.67
SO - 0002436,26-02-2015,157,Distributor,USD,FLR025,60,27,11,3859.20,42451.20,1736.64
SO - 0002437,26-02-2015,48,Distributor,USD,NXH382,58,27,7,1092.10,7644.70,589.73
SO - 0002438,26-02-2015,107,Distributor,USD,GUT930,41,2,12,877.70,10532.40,684.61
SO - 0002439,27-02-2015,20,Distributor,USD,GUT930,46,8,8,1775.50,14204.00,1047.55
SO - 0002440,27-02-2015,40,Wholesale,USD,FLR025,64,1,11,3859.20,42451.20,3241.73
SO - 0002441,27-02-2015,86,Export,USD,AXW291,16,4,9,2539.30,22853.70,1295.04
SO - 0002442,27-02-2015,100,Distributor,USD,AXW291,4,13,9,2304.80,20743.20,1936.03
SO - 0002443,27-02-2015,112,Wholesale,USD,FLR025,61,13,7,254.60,1782.20,168.04
SO - 0002444,28-02-2015,115,Wholesale,USD,NXH382,56,23,5,917.90,4589.50,440.59
SO - 0002445,28-02-2015,67,Distributor,USD,AXW291,13,13,11,1005.00,11055.00,814.05
SO - 0002446,28-02-2015,104,Export,USD,NXH382,48,1,8,1715.20,13721.60,891.90
SO - 0002447,28-02-2015,130,Export,USD,GUT930,45,14,8,241.20,1929.60,106.13
SO - 0002448,28-02-2015,22,Distributor,USD,GUT930,42,6,10,3953.00,39530.00,2569.45
SO - 0002449,28-02-2015,167,Wholesale,USD,AXW291,2,29,7,1145.70,8019.90,641.59
SO - 0002450,28-02-2015,37,Export,USD,FLR025,64,27,7,991.60,6941.20,664.37
SO - 0002451,28-02-2015,20,Wholesale,USD,FLR025,60,16,6,3946.30,23677.80,2012.61
SO - 0002452,28-02-2015,98,Wholesale,USD,AXW291,16,13,5,1132.30,5661.50,871.87
SO - 0002453,28-02-2015,38,Export,USD,GUT930,33,7,5,1072.00,5360.00,696.80
SO - 0002454,28-02-2015,170,Distributor,USD,NXH382,58,2,10,938.00,9380.00,450.24
SO - 0002455,01-03-2015,79,Wholesale,USD,AXW291,30,15,7,1058.60,7410.20,529.30
SO - 0002456,01-03-2015,171,Wholesale,USD,FLR025,66,26,12,5406.90,64882.80,2216.83
SO - 0002457,01-03-2015,164,Distributor,USD,AXW291,16,29,5,5514.10,27570.50,4025.29
SO - 0002458,01-03-2015,22,Wholesale,USD,NXH382,58,19,6,2452.20,14713.20,1422.28
SO - 0002459,01-03-2015,51,Distributor,USD,AXW291,7,22,12,3979.80,47757.60,2706.26
SO - 0002460,01-03-2015,140,Wholesale,USD,AXW291,24,15,7,6371.70,44601.90,5288.51
SO - 0002461,01-03-2015,117,Export,USD,AXW291,30,14,12,3852.50,46230.00,1541.00
SO - 0002462,02-03-2015,104,Distributor,USD,GUT930,41,14,8,2968.10,23744.80,2433.84
SO - 0002463,02-03-2015,34,Export,USD,FLR025,62,12,11,6378.40,70162.40,3252.98
SO - 0002464,02-03-2015,77,Wholesale,USD,FLR025,60,26,8,1165.80,9326.40,804.40
SO - 0002465,02-03-2015,173,Wholesale,USD,NXH382,60,19,10,1085.40,10854.00,586.12
SO - 0002466,02-03-2015,29,Wholesale,USD,AXW291,11,25,9,2485.70,22371.30,994.28
SO - 0002467,02-03-2015,17,Distributor,USD,NXH382,58,20,5,2472.30,12361.50,1161.98
SO - 0002468,02-03-2015,19,Wholesale,USD,GUT930,45,5,8,1983.20,15865.60,1348.58
SO - 0002469,02-03-2015,11,Distributor,USD,AXW291,6,1,10,1031.80,10318.00,660.35
SO - 0002470,02-03-2015,166,Distributor,USD,AXW291,21,1,6,1748.70,10492.20,786.92
SO - 0002471,02-03-2015,174,Wholesale,USD,GUT930,35,25,9,2680.00,24120.00,2090.40
SO - 0002472,02-03-2015,162,Wholesale,USD,GUT930,42,5,6,5179.10,31074.60,4246.86
SO - 0002473,03-03-2015,63,Distributor,USD,NXH382,47,2,8,2398.60,19188.80,1918.88
SO - 0002474,03-03-2015,14,Wholesale,USD,AXW291,20,13,5,1762.10,8810.50,1215.85
SO - 0002475,03-03-2015,138,Distributor,USD,AXW291,20,17,9,5628.00,50652.00,4333.56
SO - 0002476,04-03-2015,38,Wholesale,USD,AXW291,28,17,11,5272.90,58001.90,3480.11
SO - 0002477,04-03-2015,122,Wholesale,USD,AXW291,24,7,11,3758.70,41345.70,2367.98
SO - 0002478,04-03-2015,117,Wholesale,USD,GUT930,43,25,10,1011.70,10117.00,465.38
SO - 0002479,04-03-2015,81,Wholesale,USD,GUT930,44,15,6,3155.70,18934.20,1704.08
SO - 0002480,04-03-2015,21,Export,USD,AXW291,27,23,8,5922.80,47382.40,3257.54
SO - 0002481,04-03-2015,87,Wholesale,USD,GUT930,32,16,6,2646.50,15879.00,1667.30
SO - 0002482,04-03-2015,2,Distributor,USD,AXW291,21,2,10,911.20,9112.00,564.94
SO - 0002483,04-03-2015,78,Wholesale,USD,NXH382,51,13,9,837.50,7537.50,502.50
SO - 0002484,05-03-2015,67,Distributor,USD,FLR025,62,6,5,1340.00,6700.00,924.60
SO - 0002485,05-03-2015,54,Distributor,USD,GUT930,38,24,9,2914.50,26230.50,2389.89
SO - 0002486,05-03-2015,6,Distributor,USD,AXW291,9,14,7,1045.20,7316.40,721.19
SO - 0002487,05-03-2015,49,Distributor,USD,AXW291,18,25,6,3859.20,23155.20,1968.19
SO - 0002488,06-03-2015,81,Distributor,USD,NXH382,59,12,10,6070.20,60702.00,4552.65
SO - 0002489,06-03-2015,98,Wholesale,USD,GUT930,44,5,5,1031.80,5159.00,484.95
SO - 0002490,06-03-2015,174,Wholesale,USD,AXW291,24,5,10,1279.70,12797.00,678.24
SO - 0002491,07-03-2015,84,Wholesale,USD,AXW291,26,10,8,1051.90,8415.20,610.10
SO - 0002492,07-03-2015,151,Export,USD,AXW291,23,26,5,2224.40,11122.00,1201.18
SO - 0002493,07-03-2015,104,Wholesale,USD,FLR025,64,1,12,911.20,10934.40,674.29
SO - 0002494,08-03-2015,78,Wholesale,USD,GUT930,42,23,6,1072.00,6432.00,450.24
SO - 0002495,08-03-2015,124,Wholesale,USD,AXW291,20,1,5,1748.70,8743.50,1381.47
SO - 0002496,08-03-2015,119,Distributor,USD,NXH382,48,3,6,2532.60,15195.60,2102.06
SO - 0002497,08-03-2015,160,Wholesale,USD,NXH382,57,5,9,1976.50,17788.50,849.90
SO - 0002498,08-03-2015,77,Wholesale,USD,AXW291,7,17,9,1909.50,17185.50,1413.03
SO - 0002499,09-03-2015,23,Wholesale,USD,GUT930,39,16,10,1092.10,10921.00,917.36
SO - 0002500,09-03-2015,79,Distributor,USD,FLR025,62,17,6,1018.40,6110.40,519.38
SO - 0002501,09-03-2015,124,Distributor,USD,AXW291,8,4,10,844.20,8442.00,574.06
SO - 0002502,09-03-2015,168,Distributor,USD,NXH382,54,2,9,6432.00,57888.00,2637.12
SO - 0002503,09-03-2015,15,Wholesale,USD,AXW291,15,8,8,1125.60,9004.80,765.41
SO - 0002504,09-03-2015,42,Export,USD,FLR025,66,27,11,1976.50,21741.50,790.60
SO - 0002505,09-03-2015,108,Wholesale,USD,AXW291,22,15,11,1125.60,12381.60,607.82
SO - 0002506,09-03-2015,116,Export,USD,AXW291,22,26,12,1949.70,23396.40,896.86
SO - 0002507,09-03-2015,169,Wholesale,USD,GUT930,35,15,5,2345.00,11725.00,1876.00
SO - 0002508,09-03-2015,166,Distributor,USD,NXH382,48,16,8,1802.30,14418.40,1279.63
SO - 0002509,09-03-2015,131,Distributor,USD,GUT930,37,3,10,214.40,2144.00,105.06
SO - 0002510,09-03-2015,136,Wholesale,USD,GUT930,45,2,8,3008.30,24066.40,1263.49
SO - 0002511,10-03-2015,59,Wholesale,USD,GUT930,36,13,7,1165.80,8160.60,827.72
SO - 0002512,10-03-2015,157,Distributor,USD,NXH382,50,26,5,1031.80,5159.00,412.72
SO - 0002513,10-03-2015,164,Export,USD,AXW291,28,6,8,1882.70,15061.60,1016.66
SO - 0002514,10-03-2015,64,Wholesale,USD,AXW291,28,5,12,1018.40,12220.80,743.43
SO - 0002515,10-03-2015,66,Distributor,USD,GUT930,41,14,8,3832.40,30659.20,3027.60
SO - 0002516,10-03-2015,116,Wholesale,USD,NXH382,58,15,9,5299.70,47697.30,2172.88
SO - 0002517,10-03-2015,47,Export,USD,AXW291,11,8,7,3839.10,26873.70,2917.72
SO - 0002518,11-03-2015,127,Distributor,USD,AXW291,5,26,7,991.60,6941.20,763.53
SO - 0002519,11-03-2015,80,Distributor,USD,AXW291,17,5,9,234.50,2110.50,136.01
SO - 0002520,11-03-2015,26,Wholesale,USD,GUT930,32,26,6,1098.80,6592.80,604.34
SO - 0002521,11-03-2015,147,Wholesale,USD,AXW291,13,8,10,221.10,2211.00,117.18
SO - 0002522,11-03-2015,24,Wholesale,USD,NXH382,52,15,12,207.70,2492.40,110.08
SO - 0002523,12-03-2015,15,Export,USD,AXW291,6,1,5,3999.90,19999.50,1639.96
SO - 0002524,12-03-2015,162,Wholesale,USD,AXW291,23,4,9,2552.70,22974.30,1455.04
SO - 0002525,12-03-2015,137,Wholesale,USD,NXH382,48,3,5,3966.40,19832.00,2816.14
SO - 0002526,12-03-2015,137,Wholesale,USD,AXW291,10,27,5,1118.90,5594.50,850.36
SO - 0002527,12-03-2015,3,Wholesale,USD,AXW291,24,5,5,1145.70,5728.50,905.10
SO - 0002528,12-03-2015,137,Distributor,USD,GUT930,42,3,5,2606.30,13031.50,1407.40
SO - 0002529,12-03-2015,88,Wholesale,USD,NXH382,51,19,7,2820.70,19744.90,2228.35
SO - 0002530,12-03-2015,169,Distributor,USD,AXW291,29,3,6,1755.40,10532.40,1228.78
SO - 0002531,12-03-2015,114,Wholesale,USD,AXW291,26,17,7,1139.00,7973.00,706.18
SO - 0002532,12-03-2015,103,Distributor,USD,AXW291,14,19,5,5152.30,25761.50,4173.36
SO - 0002533,12-03-2015,43,Distributor,USD,AXW291,25,13,11,3832.40,42156.40,3027.60
SO - 0002534,13-03-2015,98,Wholesale,USD,NXH382,59,4,7,1815.70,12709.90,1325.46
SO - 0002535,13-03-2015,118,Wholesale,USD,AXW291,28,26,7,5360.00,37520.00,2840.80
SO - 0002536,14-03-2015,59,Wholesale,USD,AXW291,6,14,12,1118.90,13426.80,783.23
SO - 0002537,14-03-2015,140,Wholesale,USD,FLR025,66,2,10,3577.80,35778.00,2003.57
SO - 0002538,14-03-2015,126,Distributor,USD,AXW291,31,9,11,3832.40,42156.40,1686.26
SO - 0002539,14-03-2015,166,Wholesale,USD,NXH382,49,26,10,1112.20,11122.00,867.52
SO - 0002540,14-03-2015,88,Wholesale,USD,AXW291,19,9,9,3852.50,34672.50,2272.98
SO - 0002541,14-03-2015,100,Wholesale,USD,AXW291,15,26,11,180.90,1989.90,92.26
SO - 0002542,15-03-2015,144,Wholesale,USD,GUT930,41,21,5,5594.50,27972.50,2629.42
SO - 0002543,15-03-2015,114,Export,USD,FLR025,64,14,9,3644.80,32803.20,2587.81
SO - 0002544,15-03-2015,107,Wholesale,USD,NXH382,48,30,6,1239.50,7437.00,1028.79
SO - 0002545,15-03-2015,142,Wholesale,USD,NXH382,52,16,12,690.10,8281.20,441.66
SO - 0002546,15-03-2015,117,Distributor,USD,GUT930,36,22,11,837.50,9212.50,703.50
SO - 0002547,15-03-2015,119,Wholesale,USD,GUT930,43,19,11,2458.90,27047.90,1549.11
SO - 0002548,15-03-2015,10,Export,USD,GUT930,40,25,11,1922.90,21151.90,1576.78
SO - 0002549,15-03-2015,24,Wholesale,USD,GUT930,46,26,10,3872.60,38726.00,2323.56
SO - 0002550,15-03-2015,168,Export,USD,GUT930,32,12,10,1715.20,17152.00,1337.86
SO - 0002551,16-03-2015,47,Export,USD,AXW291,5,26,11,3859.20,42451.20,1929.60
SO - 0002552,16-03-2015,33,Wholesale,USD,NXH382,55,25,6,3892.70,23356.20,1829.57
SO - 0002553,16-03-2015,54,Export,USD,NXH382,48,22,9,1085.40,9768.60,890.03
SO - 0002554,16-03-2015,169,Wholesale,USD,AXW291,28,26,8,931.30,7450.40,409.77
SO - 0002555,16-03-2015,156,Wholesale,USD,AXW291,24,18,12,1145.70,13748.40,733.25
SO - 0002556,16-03-2015,112,Wholesale,USD,NXH382,57,1,11,2405.30,26458.30,986.17
SO - 0002557,16-03-2015,44,Distributor,USD,AXW291,9,18,8,4006.60,32052.80,1843.04
SO - 0002558,16-03-2015,89,Wholesale,USD,FLR025,64,29,7,201.00,1407.00,106.53
SO - 0002559,16-03-2015,71,Wholesale,USD,NXH382,53,4,7,227.80,1594.60,170.85
SO - 0002560,16-03-2015,158,Wholesale,USD,GUT930,44,2,9,3845.80,34612.20,1845.98
SO - 0002561,16-03-2015,51,Wholesale,USD,GUT930,37,14,9,3825.70,34431.30,2295.42
SO - 0002562,17-03-2015,27,Distributor,USD,AXW291,29,23,7,4013.30,28093.10,2287.58
SO - 0002563,17-03-2015,77,Wholesale,USD,AXW291,28,17,12,261.30,3135.60,201.20
SO - 0002564,17-03-2015,28,Wholesale,USD,AXW291,1,3,12,167.50,2010.00,103.85
SO - 0002565,17-03-2015,122,Distributor,USD,AXW291,18,20,5,1125.60,5628.00,709.13
SO - 0002566,17-03-2015,115,Export,USD,AXW291,22,4,9,3819.00,34371.00,2176.83
SO - 0002567,17-03-2015,5,Distributor,USD,NXH382,51,1,5,5453.80,27269.00,3163.20
SO - 0002568,17-03-2015,63,Export,USD,FLR025,63,24,6,2291.40,13748.40,1191.53
SO - 0002569,17-03-2015,77,Wholesale,USD,GUT930,41,8,11,1762.10,19383.10,1321.58
SO - 0002570,18-03-2015,117,Distributor,USD,FLR025,63,1,8,911.20,7289.60,428.26
SO - 0002571,18-03-2015,90,Export,USD,AXW291,7,18,8,2311.50,18492.00,1641.17
SO - 0002572,18-03-2015,95,Wholesale,USD,GUT930,43,14,8,6210.90,49687.20,4471.85
SO - 0002573,18-03-2015,35,Distributor,USD,NXH382,49,20,7,5306.40,37144.80,4351.25
SO - 0002574,18-03-2015,124,Distributor,USD,AXW291,17,18,9,2740.30,24662.70,1863.40
SO - 0002575,18-03-2015,120,Export,USD,GUT930,39,26,6,1118.90,6713.40,906.31
SO - 0002576,18-03-2015,75,Wholesale,USD,AXW291,23,3,12,1098.80,13185.60,725.21
SO - 0002577,19-03-2015,113,Wholesale,USD,AXW291,30,1,8,958.10,7664.80,795.22
SO - 0002578,19-03-2015,60,Wholesale,USD,FLR025,65,1,11,6217.60,68393.60,4911.90
SO - 0002579,19-03-2015,26,Distributor,USD,FLR025,65,19,11,917.90,10096.90,559.92
SO - 0002580,19-03-2015,40,Wholesale,USD,GUT930,41,25,7,1132.30,7926.10,554.83
SO - 0002581,19-03-2015,164,Wholesale,USD,GUT930,36,20,5,1695.10,8475.50,830.60
SO - 0002582,19-03-2015,112,Wholesale,USD,AXW291,11,20,9,998.30,8984.70,798.64
SO - 0002583,19-03-2015,173,Export,USD,AXW291,25,5,10,1701.80,17018.00,867.92
SO - 0002584,19-03-2015,130,Distributor,USD,FLR025,63,3,11,1025.10,11276.10,707.32
SO - 0002585,19-03-2015,88,Export,USD,AXW291,12,2,9,261.30,2351.70,203.81
SO - 0002586,19-03-2015,155,Wholesale,USD,GUT930,39,25,12,1092.10,13105.20,611.58
SO - 0002587,20-03-2015,118,Export,USD,AXW291,24,26,12,268.00,3216.00,227.80
SO - 0002588,20-03-2015,117,Wholesale,USD,AXW291,30,3,8,2271.30,18170.40,1067.51
SO - 0002589,20-03-2015,7,Wholesale,USD,GUT930,40,20,7,723.60,5065.20,405.22
SO - 0002590,20-03-2015,94,Distributor,USD,NXH382,56,25,5,5634.70,28173.50,4169.68
SO - 0002591,20-03-2015,26,Distributor,USD,AXW291,19,4,7,1715.20,12006.40,788.99
SO - 0002592,20-03-2015,35,Wholesale,USD,NXH382,58,3,12,944.70,11336.40,774.65
SO - 0002593,20-03-2015,141,Wholesale,USD,AXW291,6,4,7,2391.90,16743.30,1626.49
SO - 0002594,20-03-2015,72,Wholesale,USD,AXW291,25,26,8,1701.80,13614.40,1140.21
SO - 0002595,21-03-2015,48,Wholesale,USD,NXH382,56,10,11,3470.60,38176.60,2845.89
SO - 0002596,21-03-2015,147,Wholesale,USD,NXH382,59,18,11,844.20,9286.20,692.24
SO - 0002597,21-03-2015,18,Wholesale,USD,AXW291,13,3,12,1326.60,15919.20,1074.55
SO - 0002598,21-03-2015,26,Export,USD,FLR025,61,1,8,4006.60,32052.80,1762.90
SO - 0002599,22-03-2015,77,Wholesale,USD,FLR025,63,25,5,1045.20,5226.00,637.57
SO - 0002600,22-03-2015,83,Distributor,USD,GUT930,40,3,11,2653.20,29185.20,1326.60
SO - 0002601,22-03-2015,11,Wholesale,USD,AXW291,8,20,12,6137.20,73646.40,3375.46
SO - 0002602,22-03-2015,160,Wholesale,USD,AXW291,7,15,7,3785.50,26498.50,1514.20
SO - 0002603,22-03-2015,80,Distributor,USD,NXH382,51,13,9,3557.70,32019.30,2170.20
SO - 0002604,23-03-2015,126,Wholesale,USD,AXW291,23,20,11,5688.30,62571.30,3356.10
SO - 0002605,23-03-2015,115,Distributor,USD,GUT930,34,15,9,247.90,2231.10,153.70
SO - 0002606,23-03-2015,61,Distributor,USD,AXW291,23,23,5,187.60,938.00,125.69
SO - 0002607,23-03-2015,125,Wholesale,USD,AXW291,5,29,12,1728.60,20743.20,1331.02
SO - 0002608,23-03-2015,86,Export,USD,GUT930,42,13,11,1333.30,14666.30,706.65
SO - 0002609,23-03-2015,170,Wholesale,USD,AXW291,22,3,11,857.60,9433.60,471.68
SO - 0002610,24-03-2015,137,Wholesale,USD,AXW291,2,17,10,1788.90,17889.00,751.34
SO - 0002611,24-03-2015,97,Wholesale,USD,NXH382,52,9,8,1246.20,9969.60,922.19
SO - 0002612,24-03-2015,144,Export,USD,GUT930,32,5,7,1139.00,7973.00,854.25
SO - 0002613,24-03-2015,123,Distributor,USD,AXW291,9,17,8,2566.10,20528.80,1385.69
SO - 0002614,24-03-2015,117,Wholesale,USD,NXH382,57,25,7,1112.20,7785.40,489.37
SO - 0002615,24-03-2015,159,Wholesale,USD,NXH382,55,13,8,1025.10,8200.80,871.34
SO - 0002616,24-03-2015,167,Distributor,USD,NXH382,59,2,9,187.60,1688.40,91.92
SO - 0002617,24-03-2015,165,Distributor,USD,AXW291,30,26,7,6264.50,43851.50,4698.38
SO - 0002618,24-03-2015,53,Distributor,USD,GUT930,35,20,6,174.20,1045.20,125.42
SO - 0002619,24-03-2015,38,Wholesale,USD,AXW291,16,16,7,3825.70,26779.90,2180.65
SO - 0002620,24-03-2015,116,Wholesale,USD,GUT930,42,3,10,1025.10,10251.00,738.07
SO - 0002621,25-03-2015,31,Distributor,USD,GUT930,35,6,6,978.20,5869.20,665.18
SO - 0002622,25-03-2015,134,Wholesale,USD,GUT930,39,4,8,5319.80,42558.40,2766.30
SO - 0002623,25-03-2015,94,Export,USD,AXW291,29,14,9,1869.30,16823.70,1177.66
SO - 0002624,25-03-2015,145,Distributor,USD,AXW291,18,14,10,1085.40,10854.00,911.74
SO - 0002625,25-03-2015,101,Export,USD,AXW291,20,12,6,1072.00,6432.00,503.84
SO - 0002626,25-03-2015,24,Wholesale,USD,GUT930,38,26,7,261.30,1829.10,216.88
SO - 0002627,25-03-2015,165,Wholesale,USD,NXH382,54,16,11,3912.80,43040.80,3091.11
SO - 0002628,25-03-2015,47,Export,USD,AXW291,24,25,7,2673.30,18713.10,1176.25
SO - 0002629,25-03-2015,86,Wholesale,USD,GUT930,37,24,9,1045.20,9406.80,553.96
SO - 0002630,25-03-2015,165,Wholesale,USD,AXW291,29,18,6,2412.00,14472.00,1061.28
SO - 0002631,26-03-2015,33,Distributor,USD,GUT930,40,20,12,1018.40,12220.80,417.54
